,Agent,Address,Price,Type,No. Bedroom,No. Bathroom,No. Carpark,Land area
135,The Agency Coffs Harbour - COFFS HARBOUR,"33 Princess Street, Macksville","$479,000",House,3 bedrooms,2 bathrooms,10 parking spaces,917 m² land size
136,Harcourts Hills Living - Baulkham Hills,"7 Adam Place, Lalor Park","Price Guide: $630,000 - $660,000",House,3 bedrooms,1 bathroom,2 parking spaces,575.4 m² land size
137,Rawson Homes - Rhodes,"1497 Mimosa Street, Gregory Hills","$746,500",House,4 bedrooms,2 bathrooms,2 parking spaces,375 m² land size
138,Laing+Simmons - Cronulla,"2/67 Saltash Street, Yagoona","Guide $650,000 - $700,000",House,3 bedrooms,1 bathroom,2 parking spaces,269 m² land size
139,Property Central 2261 - LONG JETTY,"15 Shelly Beach Road, Shelly Beach","Guide $799,000",House,4 bedrooms,2 bathrooms,0,575 m² land size
140,PRDnationwide - Port Stephens,"6/37 Victoria Parade, Nelson Bay",Auction,House,3 bedrooms,2 bathrooms,2 parking spaces,187 m² building size
141,First National Real Estate Caddens,"41 Thirteenth, Warragamba","Price Range $699,000-$739,000",House,4 bedrooms,2 bathrooms,4 parking spaces,847 m² land size
142,Green Real Estate Agency - West Ryde,"15/1 Barden Street, Northmead","$500,000- $530,000",Unit,2 bedrooms,2 bathrooms,1 parking space,98 m² building size
143,Hudson McHugh - LEICHHARDT,"90/5-11 Pyrmont Bridge Road, Camperdown",Contact Agent,Unit,1 bedroom,1 bathroom,0,N/A
144,Hudson McHugh - LEICHHARDT,"4/19 Beeson Street, Leichhardt",Contact Agent,House,2 bedrooms,2 bathrooms,1 parking space,N/A
145,PRDnationwide - Kogarah,"7/35-37 Robertson Street, Kogarah","FOR SALE | $720,000",Unit,2 bedrooms,1 bathroom,1 parking space,N/A
146,Belle Property - Beecroft,"24/114-118 Crimea Road, Marsfield",Price on Application,Townhouse,2 bedrooms,2 bathrooms,1 parking space,N/A
147,Cobden & Hayson - Drummoyne,"27 Lancelot Street, Five Dock",Contact Agent,House,4 bedrooms,2 bathrooms,1 parking space,350 m² land size
148,Jim Aitken & Partners - Jordan Springs,"14 Tedbury Road, Llandilo","$695,000 - $735,000",House,4 bedrooms,2 bathrooms,2 parking spaces,350 m² land size
149,Warburton Estate Agents,"Lot 62 Maitland Street, Muswellbrook",Expressions of Interest - Closing 21 February 2019,Other,3 bedrooms,1 bathroom,0,N/A
150,Belle Property - Hunters Hill,"26 Griffiths Avenue, West Ryde",AUCTION 16 February On Site,House,4 bedrooms,3 bathrooms,1 parking space,N/A
151,Morton - Pyrmont,"B602/24-26 Point Street, Pyrmont",Contact Agent,Apartment,2 bedrooms,2 bathrooms,2 parking spaces,N/A
152,Warburton Estate Agents,"43 Shiraz Street, Muswellbrook","Preview $360,000 - $380,000",House,3 bedrooms,1 bathroom,2 parking spaces,768 m² land size
153,Chris Burke & Co - Cronulla,"10/12 Elizabeth Place, Cronulla",For Sale,Unit,2 bedrooms,1 bathroom,2 parking spaces,90 m² building size
154,Molenaar + McNeice,"54B Callows Road, Bulli",Auction,Duplex/Semi-detached,3 bedrooms,2 bathrooms,2 parking spaces,308 m² land size
155,Warburton Estate Agents,"76 Acacia Drive, Muswellbrook",$ Pre Campaign Preview,House,5 bedrooms,2 bathrooms,2 parking spaces,600 m² land size
156,Walsh & Sullivan First National - Baulkham Hills,"14A Christine Street, Northmead","Guide $1,075,000 to $1,150,000",House,5 bedrooms,3 bathrooms,1 parking space,N/A
157,Raine & Horne - Terrigal-Avoca Beach,"12 Karani Avenue, Avoca Beach",Contact Agent,House,4 bedrooms,2 bathrooms,2 parking spaces,721 m² land size
158,Ray White - Batemans Bay,"6 Vista Avenue, Catalina","$869,000",House,4 bedrooms,4 bathrooms,4 parking spaces,784 m² land size
159,Gittoes - East Gosford,"10 Billabong Street, Woy Woy","$620,000-$660,000",House,4 bedrooms,2 bathrooms,1 parking space,481 m² land size
160,Ray White - Brighton-Le-Sands,"2 Henson Street, Brighton-Le-Sands",By Negotiation - Offers Welcome,House,4 bedrooms,3 bathrooms,5 parking spaces,632.3 m² land size
161,Belle Property - Hunters Hill,"19 Anzac Avenue, Denistone",Contact Agent,House,5 bedrooms,2 bathrooms,5 parking spaces,N/A
162,Century 21 - MAROUBRA,"13/601 Bunnerong Road, Matraville",AUCTION,Apartment,2 bedrooms,1 bathroom,2 parking spaces,82 m² building size
163,Cobden & Hayson - Balmain,"343 Balmain Road, Lilyfield",Contact Agent,House,3 bedrooms,1 bathroom,1 parking space,152 m² land size
164,Century 21 - Realty One Menai,"5 Bujara Place, Bangor",AUCTION,House,3 bedrooms,2 bathrooms,2 parking spaces,935 m² land size
