,Agent,Address,Price,Type,No. Bedroom,No. Bathroom,No. Carpark,Land area
1489,Century 21 - Rouse Hill,"59 Guardian Avenue, Beaumont Hills",Just Listed,House,4 bedrooms,2 bathrooms,2 parking spaces,685 m² land size
1490,Property Central - ERINA,"35 Hillcrest Street, Terrigal","$699,000",House,3 bedrooms,1 bathroom,2 parking spaces,626 m² land size
1491,Soames Real Estate - Northern Districts,"3/73-75 Albert Street, Hornsby",For Sale,Apartment,2 bedrooms,1 bathroom,1 parking space,N/A
1492,Park Properties (Aust) Pty Ltd - Erskineville,"35/27-31 Regent Street, Chippendale",Auction,Apartment,1 bedroom,1 bathroom,0,N/A
1493,PRDnationwide - Port Stephens,"4 Bream Close, Nelson Bay","$599,000",House,3 bedrooms,2 bathrooms,2 parking spaces,563 m² land size
1494,River Realty - Maitland,"12 Gloaming Avenue, East Maitland","Price Guide $920,000 - $960,000",House,5 bedrooms,3 bathrooms,7 parking spaces,920.2 m² land size
1495,Belle Property - Hornsby,"49 Grantham Crescent, Dangar Island",For Sale,House,3 bedrooms,2 bathrooms,0,807 m² land size
1496,Jervis Bay Properties - Huskisson,"146 Elizabeth Drive, Vincentia","$2,200,000 - $2,400,000",House,4 bedrooms,3 bathrooms,2 parking spaces,961 m² land size
1497,Byron Bay Ray White -   ,"29 Shelley Drive, Byron Bay","Motivated Vendor $1,485,000",House,3 bedrooms,2 bathrooms,3 parking spaces,856 m² land size
1498,Tucker Real Estate - Mollymook,"13 The Battlement, Manyana","$565,000",House,5 bedrooms,1 bathroom,1 parking space,556 m² land size
1499,PRDnationwide - Hunter Valley,"35 Highland Way, Bolwarra Heights","Price Guide $850,000 - $930,000",House,4 bedrooms,2 bathrooms,2 parking spaces,"1,304 m² land size"
1500,Belle Property - Illawarra,"38 Woodlawn Avenue, Mangerton",Auction,House,4 bedrooms,1 bathroom,2 parking spaces,841 m² land size
1501,First National Real Estate - Morisset,"17A Dobell Drive, Wangi Wangi","$650,000 - $680,000",House,4 bedrooms,2 bathrooms,4 parking spaces,"1,135 m² land size"
1502,Century 21 McLeods - Broken Hill,"207 Wills Street, Broken Hill","$200,000",House,3 bedrooms,1 bathroom,2 parking spaces,604 m² land size
1503,LJ Hooker - Penrith,"10 Bunya Place, Glenmore Park","$619,950",House,3 bedrooms,1 bathroom,1 parking space,N/A
1504,Ray White  - Castle Hill ,"12 Letoken Way, Box Hill",Price on Request,Residential Land,0,0,0,408.7 m² land size
1505,Ray White  - Castle Hill ,"11 Romagnola Street, Box Hill",$655000,Residential Land,0,0,0,N/A
1506,Holmes St. Clair - CROWS NEST,"911/3 Herbert Street, St Leonards","For Sale $1,120,000",Apartment,2 bedrooms,2 bathrooms,1 parking space,N/A
1507,Ray White  - Castle Hill ,"11 Letoken Way, Box Hill",Price On Request,Residential Land,0,0,0,408.7 m² land size
1508,The Agency - North,"3/183 High Street, North Sydney",Contact Agent,Unit,2 bedrooms,1 bathroom,0,68 m² building size
1509,Illawarra Estate Agents - WOLLONGONG,"11 Acacia Street, Windang","$980,000-$1,020,000",House,4 bedrooms,3 bathrooms,4 parking spaces,N/A
1510,Elders Real Estate - Kings Langley,"60 Reading Avenue, Kings Langley","$940,000 - $970,000",House,4 bedrooms,2 bathrooms,1 parking space,651 m² land size
1511,Illawarra Estate Agents - WOLLONGONG,"2/25 Byron Circuit, Flinders","$590,000-$620,000",Townhouse,3 bedrooms,2 bathrooms,1 parking space,N/A
1512,Raine & Horne - LANE COVE,"20/3 Finlayson Street, Lane Cove",Auction - Contact Stuart Bourne,Apartment,2 bedrooms,2 bathrooms,2 parking spaces,142 m² building size
1513,Century 21 - Jeffree Real Estate,"11 Bolaro Avenue, Gymea",AUCTION,House,3 bedrooms,1 bathroom,1 parking space,575.4 m² land size
1514,Century 21 - Joseph Tan Real Estate,"48 Oratava Avenue, West Pennant Hills",By Negotiation,House,4 bedrooms,2 bathrooms,3 parking spaces,700 m² land size
1515,Chapman Gould & May Real Estate - Albury,"42 Jenny Wren Place, East Albury","$480,000",House,3 bedrooms,2 bathrooms,2 parking spaces,785 m² land size
1516,Alliance Real Estate - Panania,"10 Lambeth Street, Panania","$855,000",House,4 bedrooms,2 bathrooms,1 parking space,613 m² land size
1517,LJ Hooker - Bateau Bay,"92 Grandview Street, Shelly Beach",Contact Agent,House,3 bedrooms,2 bathrooms,1 parking space,575 m² land size
1518,D & S Hunter Estate Agents - Elanora Heights,"9 The Greenway, Elanora Heights",For Sale - Contact Agent,House,4 bedrooms,4 bathrooms,2 parking spaces,N/A
1519,LJ Hooker - Manly,"245 Sydney Road, Fairlight","Guide $1,600,000",House,5 bedrooms,3 bathrooms,2 parking spaces,288 m² land size
1520,Bespoke Realty Group - GLENMORE PARK,"3/34 Luttrell Street, Glenmore Park","$520,000 - $539,000",Townhouse,3 bedrooms,2 bathrooms,1 parking space,N/A
1521,Century 21 - Paradise Waters,"54  Rigney Street, Shoal Bay","$622,000",House,3 bedrooms,1 bathroom,1 parking space,580 m² land size
1522,Century 21 - Jeffree Real Estate,"221a North West Arm Road, Grays Point",AUCTION,House,4 bedrooms,2 bathrooms,2 parking spaces,939.4 m² land size
1523,Shead Property - Chatswood,"21 Kareela Road, Chatswood",Auction,House,6 bedrooms,4 bathrooms,2 parking spaces,760.3 m² land size
1524,The Property Market - Central Coast,"2/49 Woodbury Park Drive, Mardi","Price Guide $535,000",House,3 bedrooms,1 bathroom,1 parking space,622 m² land size
1525,Ray White AY Realty Chatswood,"41/15-17 Corona Avenue, Roseville",For Sale - Contact Stephen Chui,Unit,2 bedrooms,2 bathrooms,2 parking spaces,145 m² land size
1526,Ray White - Ingleburn,"16/4-6 Nardoo Street, Ingleburn","$339,000",Unit,2 bedrooms,1 bathroom,0,N/A
1527,First National Real Estate Collective - Harrington Park,"39 Lawler Drive, Oran Park","$830,000 - $870,000",House,4 bedrooms,2 bathrooms,2 parking spaces,573.1 m² land size
1528,Wiseberry Thompsons - Richmond,"14 Raymond Street, Freemans Reach","$649,000",House,3 bedrooms,1 bathroom,1 parking space,695 m² land size
1529,RBR Property Consultants - Coolangatta,"55 Charles Street, Tweed Heads","$849,000",House,4 bedrooms,2 bathrooms,2 parking spaces,"1,012 m² land size"
1530,Belle Property - Lane Cove,"2302/1 Nield Avenue, Greenwich",Contact Agent,Apartment,1 bedroom,1 bathroom,1 parking space,N/A
1531,"United Realty - Acreage, Residential, Prestige ","4 Westminster Place, Razorback",Expressions of Interest,House,6 bedrooms,3 bathrooms,6 parking spaces,2 ha land size
1532,Dukes Estate Agents - PENRITH,"23 William Hart Crescent, Penrith","$689,000 - $719,000",House,3 bedrooms,2 bathrooms,1 parking space,185 m² land size
1533,Illawarra Estate Agents - WOLLONGONG,"5 Whittaker Street, Flinders",Forthcoming Auction,House,5 bedrooms,2 bathrooms,4 parking spaces,N/A
1534,Molenaar + McNeice,"74 Collins Street, Corrimal","$800,000 - $850,000",House,3 bedrooms,2 bathrooms,2 parking spaces,539 m² land size
1535,PRDnationwide - Hunter Valley,"18 Waters Way, Metford","Price Guide $375,000 - $410,000",House,3 bedrooms,1 bathroom,2 parking spaces,745 m² land size
1536,N G Farah Real Estate - Coogee,"12 Murrabin Avenue, Matraville",Auction,House,3 bedrooms,1 bathroom,2 parking spaces,N/A
1537,N G Farah Real Estate - Coogee,"7C/1-7 Daunt Avenue, Matraville","For Sale $870,000",Apartment,2 bedrooms,2 bathrooms,1 parking space,N/A
1538,Dowling Real Estate - Medowie,"5 Creighton Drive, Medowie","$449,950",House,3 bedrooms,1 bathroom,4 parking spaces,662 m² land size
1539,Danny Whalen Real Estate - BELLINGEN,"32 Priory Parade, Valla","$670,000",House,7 bedrooms,3 bathrooms,6 parking spaces,1.01 ha land size
1540,Raine & Horne - Bardwell Park,"23 Platts Avenue, Belmore",Auction,House,3 bedrooms,3 bathrooms,2 parking spaces,N/A
1541,Raine & Horne Hornsby - HORNSBY,"11 CYPRESS STREET, Normanhurst","$1,200,000",House,3 bedrooms,1 bathroom,2 parking spaces,754 m² land size
1542,The Agency - North,"8/23 Harrison Street, Cremorne",Contact Agent,Apartment,2 bedrooms,2 bathrooms,1 parking space,N/A
1543,Sanders Property Agents -   ,"6 Magellan Way, Kurnell",Friendly Auction,House,4 bedrooms,3 bathrooms,3 parking spaces,598 m² land size
1544,LJ Hooker - Port Macquarie/Wauchope,"5 Bodalla Avenue, Port Macquarie","$540,000 - $560,000",House,3 bedrooms,2 bathrooms,2 parking spaces,754 m² land size
1545,Paul Pace Country - Double Bay,"10 Coney Hatch Lane, Sutton Forest","$1,590,000",Lifestyle,5 bedrooms,3 bathrooms,2 parking spaces,9.2 ha land size
1546,McGrath - Castle Hill,"9 Hilltop Court, Castle Hill","$1,350,000",House,5 bedrooms,4 bathrooms,2 parking spaces,732 m² land size
1547,The Agency - North,"14 Brushwood Place, Hornsby",For Sale,House,4 bedrooms,2 bathrooms,1 parking space,980 m² land size
1548,Real Estate of Distinction - Sawtell,"12 Smoky Ridge Drive, Arakoon","$1,290,000",House,5 bedrooms,3 bathrooms,7 parking spaces,N/A
1549,Grace Estate Agents - WAMBERAL,"4 Teal Close, Green Point",New to Market,House,5 bedrooms,3 bathrooms,2 parking spaces,N/A
1550,PRD Nationwide Bungendore - BUNGENDORE,"16 Deniston Circuit, Bungendore","$560,000",House,3 bedrooms,1 bathroom,1 parking space,646 m² land size
1551,Illawarra Estate Agents - WOLLONGONG,"47 Darley Street, Shellharbour",Forthcoming Auction,House,3 bedrooms,2 bathrooms,1 parking space,N/A
1552,Elders Real Estate Brunswick Heads - BRUNSWICK HEADS,"4 TEVEN STREET, Brunswick Heads",Please call Fiona,House,4 bedrooms,2 bathrooms,2 parking spaces,"1,012 m² land size"
1553,Professionals Montgomery,"42/27 Toomevara Street, Kogarah",For Sale | Contact John Sbisa,Townhouse,3 bedrooms,1 bathroom,2 parking spaces,152 m² land size
1554,Raine & Horne Goulburn - GOULBURN,"18 Edward Street, Goulburn","$339,000-$369,000",House,3 bedrooms,1 bathroom,2 parking spaces,857 m² land size
1555,PRDnationwide - Port Stephens,"27-29 Government Road, Nelson Bay","From $375,000",Residential Land,0,0,0,N/A
1556,The Agency - Eastern Suburbs,"4/19 Mount Street, Coogee","Auction, Contact Agent",Apartment,2 bedrooms,1 bathroom,0,N/A
1557,First Meridien Realty - Castle Hill,"3 Vivaldi Place, Beaumont Hills",Expressions Of Interest,House,5 bedrooms,3 bathrooms,3 parking spaces,700 m² land size
1558,LJ Hooker - Rooty Hill,"13A Victoria Road, Rooty Hill","$525,000",Townhouse,4 bedrooms,2 bathrooms,2 parking spaces,N/A
1559,Century 21 - Rouse Hill,"59  Benson Road, Beaumont Hills",Just Listed,House,4 bedrooms,2 bathrooms,2 parking spaces,N/A
1560,Harcourts Hills Living - Baulkham Hills,"3 Gull Place, Erskine Park","Price Guide: $820,000 - $890,000",House,6 bedrooms,3 bathrooms,4 parking spaces,641.2 m² land size
1561,Dukes Estate Agents - PENRITH,"41 Borrowdale Way, Cranebrook","$569,000 - $599,000",House,3 bedrooms,1 bathroom,2 parking spaces,626 m² land size
1562,Starr Partners - Riverstone ,"9 & 9a Dale Street, Seven Hills",Auction: 9.45am Saturday 9 February 2019,House,5 bedrooms,2 bathrooms,2 parking spaces,698 m² land size
1563,Belle Property - Charlestown,"3 Tinglewood Close, Tingira Heights",Price on Application,House,4 bedrooms,2 bathrooms,2 parking spaces,577 m² land size
1564,Richardson & Wrench - Narellan,"28 Charles Place, Mount Annan","$839,000 - $889,000",House,4 bedrooms,2 bathrooms,2 parking spaces,"1,025 m² land size"
1565,Ray White - Parramatta/Oatlands/Northmead/Greystanes,"10B Leamington Road, Telopea",Contact Agent,Duplex/Semi-detached,5 bedrooms,3 bathrooms,2 parking spaces,N/A
1566,Eden Brae Homes - Baulkham Hills,"Lot 5219 Proposed Road, Bonnyrigg","$789,500",House,4 bedrooms,3 bathrooms,1 parking space,316 m² land size
1567,Eden Brae Homes - Baulkham Hills,"Lot 6017 Proposed Road, Leppington","$729,900",House,4 bedrooms,2 bathrooms,2 parking spaces,377 m² land size
1568,Best Value Real Estate -  The Ponds / Schofields,"1-5/89A Adelaide Street, Oxley Park",Just Listed,Townhouse,3 bedrooms,2 bathrooms,2 parking spaces,N/A
1569,Century 21 - John Ross Combined,"19/4 Nolan Place, Seven Hills","$685,000",Townhouse,3 bedrooms,1 bathroom,1 parking space,244 m² land size
1570,Raine & Horne - LANE COVE,"4/54 Epping Road, Lane Cove","Auction Guide $550,000",Apartment,2 bedrooms,1 bathroom,1 parking space,79 m² building size
1571,Raine & Horne - LANE COVE,"45/3 Finlayson Street, Lane Cove","Auction Guide $650,000",Apartment,1 bedroom,1 bathroom,1 parking space,87 m² building size
1572,Kitson Property - Wagga Wagga,"2/9 Osterley Street, Bourkelands","$379,000",Unit,3 bedrooms,2 bathrooms,2 parking spaces,903.9 m² land size
1573,Kitson Property - Wagga Wagga,"1/9 Osterley Street, Wagga Wagga","$369,000",Unit,2 bedrooms,1 bathroom,1 parking space,903.9 m² land size
1574,Kitson Property - Wagga Wagga,"220 Kincaid Street, Wagga Wagga","$429,000",House,3 bedrooms,1 bathroom,3 parking spaces,695.55 m² land size
1575,Stone Real Estate - Hunter Valley,"39 Olivia Place, North Rothbury","$445,000",House,4 bedrooms,2 bathrooms,2 parking spaces,"1,015 m² land size"
1576,Base Property Group - KIRRA,"1402/22 Kirkwood Road, Tweed Heads South","$740,000 - 770,000",Apartment,3 bedrooms,2 bathrooms,2 parking spaces,N/A
1577,Highland Property Agents - SUTHERLAND,"31 Ingrid Road, Kareela","Auction, unless sold prior",House,3 bedrooms,3 bathrooms,2 parking spaces,N/A
1578,Manor Real Estate - Baulkham Hills ,"9 Lister Street, Winston Hills",Auction Saturday 2nd February 12:00pm,House,4 bedrooms,3 bathrooms,1 parking space,N/A
1579,McConnell Bourn - Lindfield,"502/4 Francis Road, Artarmon",Auction Sat 2nd February 9:00am,Apartment,1 bedroom,1 bathroom,1 parking space,N/A
1580,PRDnationwide - Penrith,"8/151-153 Cox Avenue, Penrith","$499,000",Townhouse,3 bedrooms,2 bathrooms,2 parking spaces,N/A
1581,Andriessen Property - Cardiff,"16 Blaxland Road, Macquarie Hills","$1,100,000 - $1,200,000",House,4 bedrooms,2 bathrooms,5 parking spaces,"1,555 m² land size"
1582,Andriessen Property - Cardiff,"18 Fin Street, Teralba","$680,000",House,4 bedrooms,2 bathrooms,2 parking spaces,348 m² land size
1583,Andriessen Property - Cardiff,"Address available on request, Edgeworth","$549,950",Other,3 bedrooms,2 bathrooms,1 parking space,N/A
1584,PRDnationwide - Penrith,"19 Chesterton Court, Cambridge Gardens","$729,000",House,4 bedrooms,2 bathrooms,2 parking spaces,669 m² land size
1585,PRDnationwide - Penrith,"23 Prion Avenue, Cranebrook","$749,000",House,3 bedrooms,2 bathrooms,2 parking spaces,390 m² land size
1586,Starr Partners - Penrith/Glenmore Park,"4 Sandy Glen, Werrington Downs","$599,950-$649,950",House,3 bedrooms,2 bathrooms,2 parking spaces,650 m² land size
1587,Century 21 - Joseph Tan Real Estate,"6 Lacebark Way, Castle Hill",By Negotiation,House,4 bedrooms,3 bathrooms,3 parking spaces,874 m² land size
1588,Eden Brae Homes - Baulkham Hills,"Lot 162 Columbus Street, Hamlyn Terrace","$582,900",House,3 bedrooms,2 bathrooms,2 parking spaces,462.3 m² land size
1589,Eden Brae Homes - Baulkham Hills,"Lot 3042 Proposed Road, Calderwood","$689,500",House,4 bedrooms,2 bathrooms,2 parking spaces,450 m² land size
1590,Eden Brae Homes - Baulkham Hills,"Lot 2288 Tedbury Road, Jordan Springs","$639,500",House,4 bedrooms,2 bathrooms,1 parking space,300 m² land size
1591,Eden Brae Homes - Baulkham Hills,"Lot 5350 Proposed Road, Marsden Park","$813,900",House,4 bedrooms,2 bathrooms,2 parking spaces,364 m² land size
1592,Eden Brae Homes - Baulkham Hills,"Lot 4539 Proposed Road, Marsden Park","$744,500",House,3 bedrooms,2 bathrooms,2 parking spaces,262.5 m² land size
1593,Eden Brae Homes - Baulkham Hills,"Lot 770 Evergreen Drive, Oran Park","$645,500",House,3 bedrooms,2 bathrooms,1 parking space,300.4 m² land size
1594,Eden Brae Homes - Baulkham Hills,"Lot 1506 Minnamurra Drive, Gregory Hills","$619,900",House,3 bedrooms,2 bathrooms,1 parking space,244 m² land size
1595,Wiseberry Kariong - KARIONG,"13 Tania Drive, Point Clare","$749,000 - $799,000",House,3 bedrooms,2 bathrooms,2 parking spaces,930 m² land size
1596,Eden Brae Homes - Baulkham Hills,"Lot 6094 Proposed Road, Leppington","$719,900",House,4 bedrooms,2 bathrooms,2 parking spaces,375 m² land size
1597,First National Real Estate - Terrigal,"4 Pacific View Street, Forresters Beach",New to Market,House,4 bedrooms,3 bathrooms,2 parking spaces,677 m² land size
1598,Broken Hill Real Estate - Broken Hill ,"27 Boughtman St, Broken Hill","$89,900",House,3 bedrooms,1 bathroom,1 parking space,N/A
1599,McGrath - Coolangatta / Tweed Heads,"15 Charles Street, Tweed Heads","$825,000 - $875,000",House,2 bedrooms,2 bathrooms,1 parking space,626 m² land size
1600,Upstate - Dee Why,"50/30 MacPherson Street, Warriewood","Auction Guide $975,000",Townhouse,4 bedrooms,2 bathrooms,2 parking spaces,222 m² building size
1601,Century 21 - John Ross Combined,"7 Fowler Street, Seven Hills","Guide Price: $640,000 - $670,000",House,3 bedrooms,1 bathroom,1 parking space,575.4 m² land size
1602,Century 21 Property Care - Minto,"1/20 Matthews St, Punchbowl","Price $479,000",Apartment,1 bedroom,2 bathrooms,2 parking spaces,N/A
1603,George Brand Real Estate - Kincumber,"30 Scaysbrook Drive, Kincumber","$719,000 - $759,000",House,3 bedrooms,3 bathrooms,1 parking space,631 m² land size
1604,Chapman Real Estate - Springwood,"91 St Georges Crescent, Faulconbridge","$590,000 - $620,000",House,3 bedrooms,2 bathrooms,1 parking space,923.2 m² land size
1605,LJ Hooker - Ballina,"21 Grandview Street, East Ballina","$950,000",House,5 bedrooms,2 bathrooms,5 parking spaces,N/A
1606,White Rhino Property - FYSHWICK,"9 Metcalf Street, Googong","$620,000",House,3 bedrooms,2 bathrooms,2 parking spaces,412 m² land size
1607,Ray White - Macarthur Group,"76 Broughton Street, Camden","$875,000 - $925,000",House,5 bedrooms,2 bathrooms,6 parking spaces,N/A
1608,Australian Real Estate - St Clair & Erskine Park,"5 Faust Glen, St Clair","ENTERTAINERS DELIGHT ! $679,950 - $699,950",House,3 bedrooms,2 bathrooms,2 parking spaces,N/A
1609,Australian Real Estate - St Clair & Erskine Park,"5 Alexandra Circuit, St Clair","LARGE BLOCK
-
$659,950 - $709,950",House,3 bedrooms,1 bathroom,3 parking spaces,790 m² land size
1610,Australian Real Estate - St Clair & Erskine Park,"41 Olympus Drive, St Clair","POSSIBLE DUAL OCC $699,950 - $749,950",House,3 bedrooms,1 bathroom,2 parking spaces,795 m² land size
1611,First National Real Estate Daystar - Daystar,"206 Tower Street, Panania","$1,100,000",House,4 bedrooms,3 bathrooms,2 parking spaces,N/A
1612,Green St Property - Newcastle,"74 Bridge Street, Waratah","Guide $640,000",House,3 bedrooms,2 bathrooms,1 parking space,N/A
1613,McCormack Barber - Orange,"124 Woodward Street, Orange",New to Market,House,3 bedrooms,2 bathrooms,3 parking spaces,765 m² land size
1614,Pacific Coast Property Network - FORSTER,"89 Breckenridge Street, Forster","$495,000",House,3 bedrooms,2 bathrooms,2 parking spaces,626 m² land size
1615,N G Farah Real Estate - Coogee,"2/53-55 Meeks Street, Kingsford",Auction,Apartment,2 bedrooms,1 bathroom,1 parking space,N/A
1616,Prestige Professionals,"3/1-3 Bardia Parade, Holsworthy","$780,000 - $810,000",Townhouse,3 bedrooms,2 bathrooms,2 parking spaces,N/A
1617,The Property Market Lake Macquarie,"15 Anchorage Circle, Summerland Point",New To Market,House,4 bedrooms,2 bathrooms,4 parking spaces,755 m² land size
1618,Capital One Real Estate - Kanwal,"5 Barrington Drive, Woongarrah",Contact Agent,House,4 bedrooms,2 bathrooms,2 parking spaces,624 m² land size
1619,Chapman Real Estate - Springwood,"380 & 381 Macquarie Road, Springwood","$960,000 - $1,000,000",House,3 bedrooms,1 bathroom,1 parking space,"1,483 m² land size"
1620,Purplebricks  - New South Wales ,"14 Day Street, Wyoming","Price Guide: $530,000 to $550,000",House,4 bedrooms,2 bathrooms,1 parking space,854 m² land size
1621,Elders Real Estate - Port Macquarie,"1 Woodlands Road, Limeburners Creek","$1,590,000",Acreage,3 bedrooms,2 bathrooms,4 parking spaces,64.75 ha land size
1622,Soames Real Estate - Northern Districts,"46 Norman Avenue, Thornleigh",Auction on site unless sold prior,House,3 bedrooms,1 bathroom,2 parking spaces,974 m² land size
1623,Soames Real Estate - Northern Districts,"30 Larool Crescent, Thornleigh",Auction on site unless sold prior,House,4 bedrooms,2 bathrooms,2 parking spaces,739 m² land size
1624,Soames Real Estate - Northern Districts,"4 Barrakee Place, Westleigh",Auction on site unless sold prior,House,4 bedrooms,3 bathrooms,2 parking spaces,742 m² land size
1625,Soames Real Estate - Northern Districts,"45 Norman Avenue, Thornleigh",Auction on site unless sold prior,House,3 bedrooms,1 bathroom,2 parking spaces,954 m² land size
1626,McGrath - Liverpool ,"69 Stockdale Crescent, Abbotsbury",Contact Agent,House,4 bedrooms,3 bathrooms,1 parking space,612 m² land size
1627,McGrath - Manly,"11 Ethel Street, Balgowlah","Price guide $1,950,000",House,4 bedrooms,2 bathrooms,2 parking spaces,520 m² land size
1628,McGrath Real Estate - Mona Vale,"3 Cooleena Road, Elanora Heights","Price guide $1,450,000",House,3 bedrooms,2 bathrooms,4 parking spaces,N/A
1629,McGrath - Ettalong Beach,"4/48 Schnapper Road, Ettalong Beach",Contact Agent,Villa,3 bedrooms,1 bathroom,2 parking spaces,N/A
1630,McGrath   - Neutral Bay,"12/19 Sinclair Street, Wollstonecraft",Contact Agent,Apartment,2 bedrooms,1 bathroom,1 parking space,N/A
1631,Upstate - Dee Why,"30 Stuart Street, Collaroy",Contact Agent,Other,4 bedrooms,3 bathrooms,2 parking spaces,N/A
1632,McGrath Toukley - TOUKLEY,"11 North Barrington Road, Woongarrah","$650,000 - $700,000",House,4 bedrooms,2 bathrooms,2 parking spaces,N/A
1633,Pelican Properties - Mosman,"15 Darley st, Newtown","Price Guide $550,000 to $585,000",Apartment,1 bedroom,1 bathroom,0,N/A
1634,Molenaar + McNeice,"5 Toolangi Close, Cordeaux Heights","$520,000 - $560,000",House,3 bedrooms,1 bathroom,2 parking spaces,588 m² land size
1635,Pacific Coast Property Network - FORSTER,"6/142 South Street, Tuncurry","$449,000",Villa,2 bedrooms,2 bathrooms,1 parking space,N/A
1636,Ray White - Albion Park,"2/56 Taylor Road, Albion Park","$479,000 - $489,000",Villa,2 bedrooms,1 bathroom,2 parking spaces,N/A
1637,Musgrove Realty,"3053 Great North Rd, Wollombi","$800,000 - $850,000",House,3 bedrooms,2 bathrooms,2 parking spaces,"3,111 m² land size"
1638,LJ Hooker - Erina,"20 Bembooka Road, Green Point",New to Market,Acreage,5 bedrooms,3 bathrooms,4 parking spaces,N/A
1639,Real Homes Realty - Penrith ,"8 Hatherton Road, Lethbridge Park",JUST LISTED!,House,3 bedrooms,1 bathroom,4 parking spaces,582 m² land size
1640,Mantra Group - Surfers Paradise,"1225/1226 ""Mantra on Salt"" 9 Gunnamatta Avenue, Kingscliff","$329,000.00",Apartment,2 bedrooms,2 bathrooms,1 parking space,N/A
1641,Harcourts Newcastle - NEWCASTLE,"24 Crescent Road, Waratah","Price Guide - $550,000",House,3 bedrooms,2 bathrooms,2 parking spaces,386 m² land size
1642,Chapman Real Estate - Springwood,"3/78 Heather Road, Winmalee","$1,120,000 - $1,200,000",House,4 bedrooms,2 bathrooms,2 parking spaces,"2,267 m² land size"
1643,Broken Hill Real Estate - Broken Hill ,"113 Eyre St, Broken Hill",Under Contract,House,3 bedrooms,1 bathroom,1 parking space,N/A
1644,LJ Hooker - Figtree,"66 Princes Highway, West Wollongong",AUCTION,House,3 bedrooms,1 bathroom,0,N/A
1645,Ray White Turramurra | Wahroonga -   ,"153 Pentecost Avenue, Turramurra","Auction 9 February, 3pm On site",House,5 bedrooms,2 bathrooms,2 parking spaces,"1,012 m² land size"
1646,Richardson & Wrench - Lindfield,"12/9 Milray Street, Lindfield","For Sale $1,900,000",Apartment,3 bedrooms,2 bathrooms,2 parking spaces,N/A
1647,Property Central - ERINA,"43 Coreen Drive, Wamberal",Just Listed,House,4 bedrooms,2 bathrooms,0,506 m² land size
1648,Unreal Estate Coffs Coast - Coffs Harbour,"176 Heritage Drive, Moonee Beach","$769,000",House,3 bedrooms,2 bathrooms,6 parking spaces,1 ha land size
1649,Ray White - Coffs Harbour,"74 Mastons Road, Karangi","$1,080,000 - $1,180,000",Acreage,3 bedrooms,3 bathrooms,14 parking spaces,14 ha land size
1650,Ray White Kingscliff - Casuarina,"6 Pheeny Lane, Casuarina","$1,225,000",House,4 bedrooms,4 bathrooms,2 parking spaces,N/A
1651,Guardian Realty - Castle Hill,"5 Yandiah Place, Castle Hill",Just Listed,House,5 bedrooms,3 bathrooms,2 parking spaces,908 m² land size
1652,J&L Global - Haymarket,"418/1-5A Cliff Road, Epping",Massive Promotions !,Apartment,1 bedroom,1 bathroom,1 parking space,N/A
1653,J&L Global - Haymarket,"422/1-5A Cliff Road, Epping",Penthouse Promotion !,Apartment,2 bedrooms,2 bathrooms,1 parking space,N/A
1654,Nidus Group Real Estate - Rooty Hill,"52 Wolseley Street, Rooty Hill","$629,950 - $649,950",House,3 bedrooms,1 bathroom,1 parking space,556 m² land size
1655,The Agency - Eastern Suburbs,"15/132 Alison Road, Randwick","Auction, Price Guide $850,000",Apartment,3 bedrooms,1 bathroom,1 parking space,N/A
1656,Sanders Property Agents -   ,"12/17 Binya Place, Como","$725,000",Villa,2 bedrooms,1 bathroom,1 parking space,204 m² land size
1657,Bennett Property - Richmond,"98 Lieutenant Bowen Road, Bowen Mountain",Just Listed,House,3 bedrooms,1 bathroom,2 parking spaces,689.2 m² land size
1658,Richardson & Wrench - Lindfield,"15/9 Milray Street, Lindfield",Contact Agent,Apartment,3 bedrooms,2 bathrooms,2 parking spaces,167 m² building size
1659,Nidus Group Real Estate - Rooty Hill,"25/324 Woodstock Avenue, Mount Druitt",Contact Agent,Unit,2 bedrooms,2 bathrooms,2 parking spaces,N/A
1660,Stone Real Estate - South Hurstville,"8 Pacific Street, Blakehurst",Contact agent,House,5 bedrooms,3 bathrooms,2 parking spaces,550 m² land size
1661,Property Central - Penrith,"26 Toorak Crescent, Emu Plains","AUCTION Guide: $549,000",House,3 bedrooms,1 bathroom,1 parking space,576 m² land size
1662,Ray White - Hornsby,"7/121-133 Pacific Highway, Hornsby","For Sale $549,000",Apartment,1 bedroom,1 bathroom,1 parking space,N/A
1663,Bennett Property - Richmond,"44 Meares Road, McGraths Hill",Just Listed,House,4 bedrooms,3 bathrooms,2 parking spaces,638.6 m² land size
1664,Century 21 - Specialist Realty,"1/13 Woids Ave, Hurstville","$608,000",Apartment,2 bedrooms,1 bathroom,1 parking space,N/A
1665,Ray White Merrylands - Merrylands,"11/17-21 Todd Street, Merrylands","$495,000",Unit,2 bedrooms,2 bathrooms,2 parking spaces,N/A
1666,Premiere Estate Agents,"67 Ewing Loop, Oran Park","640m2 block | $945,000 to $975,000",House,4 bedrooms,2 bathrooms,2 parking spaces,640 m² land size
1667,Premiere Estate Agents,"10 The Straight, Oran Park","687m2 Block |  $899,000 to $975,000",House,4 bedrooms,2 bathrooms,2 parking spaces,687 m² land size
